Country name,Country code,Region,Subregion,Current female head of state,Names of elected and appointed female heads of state or governments with dates,Names of elected and appointed female heads of state or governments since 1946,Number of elected and appointed female heads of state or governments since 1946,Percentage of ministerial positions held by women,Rank of ministerial positions held by women,Percentage of seats held by women in the national legislature,Rank of seats held by women in the national legislature,Percentage of female candidates in the most recent elections to the national legislature,Rank of female candidates in the most recent elections to the national legislature,Percentage of elected seats held by women in local government bodies,Rank of elected seats held by women in local government bodies,Political parity score,Political parity score rank
Liberia,LBR,Sub-Saharan Africa,West Africa,,"Ellen Johnson Sirleaf (January 16, 2006 to January 22, 2018)",Ellen Johnson Sirleaf,1,29.41,61.0,9.71,167,-1,-1,-1,-1,23.7,103
Libya,LBY,Middle East and North Africa,North Africa,, ,,0,16.00,118.0,16.47,143,8.87,79,14.3,113,13,160
Liechtenstein,LIE,Europe,Western Europe,, ,,0,60,1,28,80,30.67,36,39.10,25,49.5,30
Lithuania,LTU,Europe,Northern Europe,Ingrida Šimonytė,"Kazimira Prunskiene (March 17, 1990 to January 10, 1991), Dalia Grybauskaite (July 12, 2009 to July 12, 2019), Ingrida Simonyte (December 11, 2020 to Incumbent)","Kazimira Prunskiene, Dalia Grybauskaitė, Ingrida Šimonytė (current)",3,42.86,22,29.29,73,33.30,32,29.40,64,46,38
Luxembourg,LUX,Europe,Western Europe,, ,,0,37.50,34,35,47,42.84,12,25.10,82,44.4,42
Madagascar,MDG,Sub-Saharan Africa,East Africa,, ,,0,34.62,41,17.75,135,-1,-1,-1,-1,24.8,97
Malawi,MWI,Sub-Saharan Africa,East Africa,,"Joyce Banda (April 7, 2012 to May 31, 2014)",Joyce Banda,1,33.33,42,20.73,119,22.20,53,14.60,112,24.9,96
Malaysia,MYS,Asia and the Pacific,South Asia,, ,,0,16.67,111,14.65,150,-1,-1,-1,-1,12.4,163
Maldives,MDV,Asia and the Pacific,South Asia,, ,,0,33.33,42,5.00,180,9.72,76,39.50,23,26.3,85
Mali,MLI,Sub-Saharan Africa,West Africa,,"Cisse Mariam Kaidama Sidibe (April 3, 2011 to March 22, 2012)",Cisse Mariam Kaidama Sidibe,1,19.23,96,28.57,78,-1,-1,25.30,81,24.8,97
Malta,MLT,Europe,Western Europe,,"Agatha Barbara (February 15, 1982 to February 15, 1987), Marie-Louise Coleiro Preca (April 4, 2014 to April 4, 2019)","Agatha Barbara, Marie-Louise Coleiro Preca",2,11.11,146,27.85,81,-1,-1,26.30,79,25.4,90
Marshall Islands,MHL,Asia and the Pacific,Australasia and Pacific,Hilda Heine,"Hilda Heine (January 28, 2016 to January 14, 2020)",Hilda Heine (current),1,11.11,146,12.12,159,-1,-1,16,104,12.7,162
Mauritania,MRT,Sub-Saharan Africa,West Africa,, ,,0,13.64,135,23.30,105,-1,-1,31.40,52,23.0,106
Mauritius,MUS,Sub-Saharan Africa,East Africa,,"Ameenah Gurib (June 5, 2015 to March 23, 2018)",Ameenah Gurib,1,14.29,129,20.00,124,-1,-1,24.40,85,19.5,126
Mexico,MEX,Americas,North America,, ,,0,42.11,26,50.40,1,-1,-1,47.50,6,65.8,8
Micronesia,FSM,Asia and the Pacific,Australasia and Pacific,, ,,0,25.00,67,15.38,147,10.34,75,1.5,136,12.9,161
Moldova,MDA,Europe,Southeastern Europe,Maia Sandu,"Zinaida Greceanii (March 31, 2008 to September 14, 2009), Maia Sandu (June 8, 2019 to November 14, 2019), Maia Sandu (December 24, 2020 to Incumbent)","Zinaida Greceanii, Natalia Gavrilita, Maia Sandu (current)",3,20.00,94,40.82,26,46.73,6,35.60,34,49.3,31
Monaco,MCO,Europe,Western Europe,, ,,0,40,30,45.83,13,-1,-1,-1,-1,50.4,28
Mongolia,MNG,Asia and the Pacific,East Asia,, ,,0,12.50,139,18.06,134,24.92,44,27.20,73,21.4,116
Montenegro,MNE,Europe,Southeastern Europe,, ,,0,18.75,98,27.16,87,-1,-1,32.70,46,27.3,80
Morocco,MAR,Middle East and North Africa,North Africa,, ,,0,21.05,88,21.36,115,-1,-1,20.90,92,20.1,124
Mozambique,MOZ,Sub-Saharan Africa,Southern Africa,,"Luisa Diogo (February 17, 2004 to January 16, 2010)",Luisa Diogo,1,55.00,1,43.20,20,-1,-1,-1,-1,61.5,11
Myanmar,MMR,Asia and the Pacific,South Asia,, ,,0,4.00,183,-2,-2,-2,-2,-2,-2,2.1,190
Namibia,NAM,Sub-Saharan Africa,Southern Africa,, ,,0,31.58,56,35.62,45,-1,-1,44.90,9,45.8,39
Nauru,NRU,Asia and the Pacific,Australasia and Pacific,, ,,0,0,184,10.53,163,13.95,71,-1,-1,7.0,179
Nepal,NPL,Asia and the Pacific,South Asia,,"Bidhya Devi Bhandari (October 29, 2015 to Incumbent)",Bidhya Devi Bhandari ,1,15.79,120,33.84,49,9.33,77,41.30,18,32.2,69
Netherlands,NLD,Europe,Western Europe,, ,,0,50.00,1,39.11,28,18.62,61,35,36,48.2,34
New Zealand,NZL,Asia and the Pacific,Australasia and Pacific,,"Jenny Shipley (December 5, 1997 to December 5, 1999), Helen Clark (December 5, 1999 to November 19, 2008), Jacinda Ardern (October 26, 2017 to Incumbent)","Jenny Shipley, Helen Clark, Jacinda Ardern ",3,45.00,20,45.53,15,40.39,21,39.40,24,65,9
Nicaragua,NIC,Americas,Central America,,"Violeta Chamorro (April 25, 1990 to January 10, 1997)",Violeta Chamorro,1,62.50,1,53.85,1,-1,-1,-1,-1,69.9,6
Niger,NER,Sub-Saharan Africa,West Africa,, ,,0,16.13,117,30.72,65,-1,-1,15.8,106,20.6,119
Nigeria,NGA,Sub-Saharan Africa,West Africa,, ,,0,10.71,152,3.85,182,-1,-1,11.10,121,7.1,178
North Macedonia,MKD,Europe,Southeastern Europe,, ,,0,17.65,104,42.50,25,42.31,15,-1,-1,42.2,46
Norway,NOR,Europe,Northern Europe,,"Gro Harlem Brundtland (February 4, 1981 to October 14, 1981), Gro Harlem Brundtland (May 9, 1986 to October 16, 1989), Gro Harlem Brundtland (November 3, 1990 to October 25, 1996), Erna Solberg (October 16, 2013 to Incumbent)","Gro Harlem Brundtland, Erna Solberg ",2,50.00,1,44.38,17,42.62,14,40.80,20,70.7,5
Oman,OMN,Middle East and North Africa,Middle East,, ,,0,15.00,127,10.23,165,3.80,85,0.80,138,6.7,181
Pakistan,PAK,Asia and the Pacific,South Asia,,"Benazir Bhutto (December 2, 1988 to July 6, 1990), Benazir Bhutto (October 19, 1993 to November 5, 1996)",Benazir Bhutto,1,9.38,162,20.14,123,-1,-1,16.80,102,15.5,146
Palau,PLW,Asia and the Pacific,Australasia and Pacific,, ,,0,12.50,139,6.90,173,18.18,62,-1,-1,11,169
Panama,PAN,Americas,Central America,,"Mireya Moscoso (September 1, 1999 to September 1, 2004)",Mireya Moscoso,1,31.25,57,22.54,110,16.70,66,9,127,22.3,110
Papua New Guinea,PNG,Asia and the Pacific,Australasia and Pacific,, ,,0,0,184,2.70,184,-1,-1,-1,-1,0.9,191
Paraguay,PRY,Americas,South America,, ,,0,17.65,104,24.00,102,26.93,39,20.80,93,23.2,105
Peru,PER,Americas,South America,Dina Boluarte,#-2,Dina Boluarte (current),1,47.37,18,38.46,33,-1,-1,41.40,17,56.2,17
Philippines,PHL,Asia and the Pacific,South Asia,,"Corazon Aquino (February 25, 1986 to June 30, 1992), Gloria Macapagal Arroyo (January 20, 2001 to June 30, 2010)","Corazon Aquino, Gloria Macapagal Arroyo",2,26.32,65,27.46,84,18.75,60,29,66,32.7,66
Poland,POL,Europe,Eastern Europe,,"Hanna Suchocka (July 11, 1992 to October 25, 1993), Ewa Kopacz (September 22, 2014 to November 16, 2015), Beata Szydlo (November 16, 2015 to December 11, 2017)","Hanna Suchocka, Ewa Kopacz, Beata Szydło",3,17.65,104,27.68,83,43.14,10,30,60,36.9,58
Portugal,PRT,Europe,Western Europe,,"Maria de Lourdes Pintasilgo (August 1, 1979 to January 3, 1980)",Maria de Lourdes Pintasilgo,1,41.18,28,36.52,40,-1,-1,-1,-1,42.7,45
Qatar,QAT,Middle East and North Africa,Middle East,, ,,0,18.75,98,4.44,181,11.16,73,-1,-1,10.1,170
Republic of Congo,COG,Sub-Saharan Africa,Central Africa,, ,,0,20.93,91,20.18,122,-2,-2,-1,-1,17.3,139
South Korea,KOR,Asia and the Pacific,East Asia,,"Park Geun-hye (February 25, 2013 to December 9, 2016)",Park Geun-hye,1,15.79,120,19.19,130,26.92,40,30.30,58,25.6,88
Romania,ROU,Europe,Southeastern Europe,,"Viorica Dancila (January 29, 2018 to November 4, 2019)",Viorica Dancila,1,10,156,18.79,132,-1,-1,14.10,115,13.2,158
Russia,RUS,Russia and Central Asia,Russia,, ,,0,4.76,179,17.12,139,-1,-1,-1,-1,8.6,174
Rwanda,RWA,Sub-Saharan Africa,East Africa,,"Agathe Uwilingiyimana (July 18, 1993 to April 7, 1994)",Agathe Uwilingiyimana,1,47.62,17,54.72,1,-1,-1,43.6,12,67.3,7
Saint Kitts and Nevis,KNA,Americas,Caribbean,, ,,0,25.00,67,31.25,63,-1,-1,-1,-1,26.3,85
Saint Lucia,LCA,Americas,Caribbean,, ,,0,18.18,103,24.14,101,24.44,45,-1,-1,21.6,114
Saint Vincent and the Grenadines,VCT,Americas,Caribbean,, ,,0,8.33,165,21.74,114,15.15,69,-1,-1,13.7,156
Samoa,WSM,Asia and the Pacific,Australasia and Pacific,Fiame Naomi Mata’afaa,#-2,Fiame Naomi Mata’afaa (current),1,30.77,59,12.96,158,11.11,74,-1,-1,18.8,135
San Marino,SMR,Europe,Western Europe,, ,,0,10.00,156,33.33,53,40.07,22,-1,-1,32.0,70
Sao Tome and Principe,STP,Sub-Saharan Africa,West Africa,,"Maria das Neves (October 3, 2002 to September 18, 2004), Maria do Carmo Silveira (June 8, 2005 to April 21, 2006)","Maria das Neves, Maria do Carmo Silveira",2,36.36,38,14.55,152,-1,-1,23.9,86,27.3,80
Saudi Arabia,SAU,Middle East and North Africa,Middle East,, ,,0,0,184,19.87,127,-1,-1,1.20,137,6.5,182
Senegal,SEN,Sub-Saharan Africa,West Africa,,"Mame Madior Boye (March 3, 2001 to November 4, 2002), Aminata Toure (September 1, 2013 to July 8, 2014)","Mame Madior Boye, Aminata Toure",2,20.59,93,46.06,11,-1,-1,47.20,7,51,26
Serbia,SRB,Europe,Southeastern Europe,Ana Brnabic,"Ana Brnabic (June 29, 2017 to Incumbent)",Ana Brnabic (current),1,36.00,39,38.00,35,42.81,12,37.60,32,52.5,24
Seychelles,SYC,Sub-Saharan Africa,East Africa,, ,,0,33.33,42,20.59,121,-1,-1,-1,-1,25.3,91
Sierra Leone,SLE,Sub-Saharan Africa,West Africa,, ,,0,14.29,129,29.53,72,-1,-1,18.20,97,20.2,123
Singapore,SGP,Asia and the Pacific,South Asia,,"Halimah Yacob (September 14, 2017 to Incumbent)",Halimah Yacob ,1,13.33,136,29.29,73,20.83,57,-1,-1,22.9,107
Slovakia,SVK,Europe,Eastern Europe,Zuzana Caputova,"Iveta Radicova (July 8, 2010 to April 4, 2012), Zuzana Caputova (June 15, 2019 to Incumbent)","Iveta Radicova, Zuzana Caputova (current)",2,14.29,129,22.67,109,25.35,43,26.90,76,25.2,92
Slovenia,SVN,Europe,Southeastern Europe,Nataša Pirc Musar,"Alenka Bratusek (March 20, 2013 to September 18, 2014)","Alenka Bratusek, Nataša Pirc Musar (current)",2,38.46,31,31.54,60,44.24,8,34.90,37,49.0,33
Solomon Islands,SLB,Asia and the Pacific,Australasia and Pacific,, ,,0,9.52,161,8.00,170,7.81,81,-1,-1,6.9,180
Somalia,SOM,Sub-Saharan Africa,East Africa,, ,,0,12.00,144,20.67,119,-1,-1,-1,-1,13.2,158
South Africa,ZAF,Sub-Saharan Africa,Southern Africa,, ,,0,48.15,15,45.66,14,-1,-1,40.70,21,61.4,12
South Sudan,SSD,Sub-Saharan Africa,East Africa,, ,,0,25.00,67,32.33,57,-1,-1,-1,-1,27.0,82
Spain,ESP,Europe,Western Europe,, ,,0,63.64,1,43.41,19,-1,-1,38.60,31,59.9,15
Sri Lanka,LKA,Asia and the Pacific,South Asia,,"Sirimavo Bandaranaike (July 21, 1960 to March 27, 1965), Sirimavo Bandaranaike (May 29, 1970 to July 23, 1977), Chandrika Kumaratunga (November 12, 1994 to November 19, 2005)","Sirimavo Bandaranaike, Chandrika Kumaratunga",2,0.00,184,5.33,179,9.04,78,10.9,122,14.0,155
Sudan,SDN,Sub-Saharan Africa,East Africa,, ,,0,16.67,111,-2,-2,-2,-2,-2,-2,10.0,171
Suriname,SUR,Americas,South America,, ,,0,29.41,61,31.37,61,42.04,16,33.10,45,41.9,48
Sweden,SWE,Europe,Northern Europe,,#-2,Magdalena Andersson,1,47.83,16,46.70,10,-1,-1,44,11,64.8,10
Switzerland,CHE,Europe,Western Europe,,"Ruth Dreifuss (January 1, 1999 to December 31, 1999), Micheline Calmy-Rey (January 1, 2007 to December 31, 2007), Doris Leuthard (January 1, 2010 to December 31, 2010), Micheline Calmy-Rey (January 1, 2011 to December 31, 2011), Eveline Widmer-Schlumpf (January 1, 2012 to December 31, 2012), Simonetta Sommaruga (January 1, 2015 to December 31, 2015), Doris Leuthard (January 1, 2017 to December 31, 2017), Simonetta Sommaruga (January 1, 2020 to December 31, 2020)","Ruth Dreifuss, Micheline Calmy-Rey, Doris Leuthard, Eveline Widmer-Schlumpf, Simonetta Sommaruga",5,42.86,22,37.80,36,40.75,20,39,26,56.0,18
Syria,SYR,Middle East and North Africa,Middle East,, ,,0,7.69,167,10.40,164,12.08,72,7.1,129,8.2,177
Tajikistan,TJK,Russia and Central Asia,Central Asia,, ,,0,14.29,129,26.60,90,19.92,58,-1,-1,19.5,126
Thailand,THA,Asia and the Pacific,South Asia,,"Yingluck Shinawatra (July 3, 2011 to May 7, 2014)",Yingluck Shinawatra,1,5.26,176,16.42,144,-1,-1,20.50,94,13.7,156
Togo,TGO,Sub-Saharan Africa,West Africa,Victoire Tomegah Dogbe,"Victoire Tomegah Dogbe (September 28, 2020 to Incumbent)",Victoire Tomegah Dogbe (current),1,23.08,80,18.89,131,-1,-1,-1,-1,19.3,129
Tonga,TON,Asia and the Pacific,Australasia and Pacific,, ,,0,10.00,156,7.14,171,-1,-1,-1,-1,6.3,183
Trinidad and Tobago,TTO,Americas,Caribbean,Christine Kangaloo,"Kamla Persad-Bissessar (May 26, 2010 to September 9, 2015), Paula-Mae Weekes (March 19, 2018 to Incumbent)","Kamla Persad-Bissessar, Paula-Mae Weekes, Christine Kangaloo (current)",3,31.82,53,33.78,50,30.00,38,-1,-1,39.4,55
Tunisia,TUN,Middle East and North Africa,North Africa,,#-2, Najla Bouden Romdhane,1,33.33,42,15.69,146,-1,-1,48.50,4,41.3,49
Turkey,TUR,Europe,Southeastern Europe,,"Tansu Ciller (June 13, 1993 to March 6, 1996)",Tansu Ciller,1,5.88,174,19.87,127,-1,-1,10.10,124,11.5,166
Turkmenistan,TKM,Russia and Central Asia,Central Asia,, ,,0,5.88,174,25.60,95,-1,-1,21.9,91,17.2,140
Tuvalu,TUV,Asia and the Pacific,Australasia and Pacific,, ,,0,0.00,184,0.00,187,3.03,86,12.5,118,3.5,188
Uganda,UGA,Sub-Saharan Africa,East Africa,, ,,0,33.33,42,33.93,48,-1,-1,22.10,90,32.5,67
Ukraine,UKR,Europe,Eastern Europe,,"Yulia Tymoshenko (January 24, 2005 to September 6, 2005), Yulia Tymoshenko (December 18, 2007 to March 3, 2010)",Yulia Tymoshenko,1,21.05,88,21.09,117,22.54,52,29.8,62,25.8,87
United Arab Emirates,ARE,Middle East and North Africa,Middle East,, ,,0,17.65,104,50.00,1,41.61,18,-1,-1,48.2,34
United Kingdom,GBR,Europe,Western Europe,,"Margaret Thatcher (May 4, 1979 to November 28, 1990), Theresa May (July 13, 2016 to July 24, 2019)","Margaret Thatcher, Theresa May",2,33.33,42,31.59,59,33.77,31,35.3,35,45.0,41
Tanzania,TZA,Sub-Saharan Africa,Southern Africa,Samia Hassan Suluhu,"Samia Suluhu Hassan (March 18, 2021 to Incumbent)",Samia Hassan Suluhu (current),1,30.00,60,37.40,37,-1,-1,30.70,53,37.9,57
United States,USA,Americas,North America,, ,,0,33.33,42,28.38,79,-1,-1,-1,-1,29.9,74
Uruguay,URY,Americas,South America,, ,,0,14.29,129,26.92,88,-1,-1,31.70,50,25,94
Uzbekistan,UZB,Russia and Central Asia,Central Asia,, ,,0,4.76,179,30.53,67,41.33,19,-1,-1,29.9,74
Vanuatu,VUT,Asia and the Pacific,Australasia and Pacific,, ,,0,0,184,1.96,185,-1,-1,10.10,124,3.3,189
Venezuela,VEN,Americas,South America,, ,,0,28.13,63,-1,-2,37.30,27,-1,-1,32.9,65
Vietnam,VNM,Asia and the Pacific,South Asia,, ,,0,11.11,146,30.63,66,-1,-1,29,67,24.4,99
Yemen,YEM,Middle East and North Africa,Middle East,, ,,0,0.00,184,0.30,186,-1,-1,-2,-2,0.1,192
Zambia,ZMB,Sub-Saharan Africa,Southern Africa,, ,,0,16,118,14.97,148,-1,-1,7.1,129,11.1,168
Zimbabwe,ZWE,Sub-Saharan Africa,Southern Africa,, ,,0,23.81,77,33.13,55,-1,-1,12,119,23.6,104
,,,,, ,,,,,,,,,,,,