Entity,Code,Year,number_hos_men_vdem_owid,number_hos_women_vdem_owid
North America,,1984,14,1
North America,,1985,14,1
North America,,1986,14,1
North America,,1987,14,1
North America,,1988,14,1
North America,,1989,14,1
North America,,1990,12,3
North America,,1991,13,2
North America,,1992,13,2
North America,,1993,13,2
North America,,1994,13,2
North America,,1995,14,1
North America,,1996,14,1
North America,,1997,15,0
North America,,1998,15,0
North America,,1999,13,2
North America,,2000,13,2
North America,,2001,13,2
North America,,2002,13,2
North America,,2003,13,2
North America,,2004,14,1
North America,,2005,14,1
North America,,2006,14,1
North America,,2007,14,1
North America,,2008,14,1
North America,,2009,14,1
North America,,2010,14,1
North America,,2011,14,1
North America,,2012,14,1
North America,,2013,14,1
North America,,2014,15,0
North America,,2015,15,0
North America,,2016,15,0
North America,,2017,14,1
North America,,2018,12,3
North America,,2019,12,3
North America,,2020,12,3
North America,,2021,12,3
North America,,2022,11,4
Oceania,,1789,1,0
Oceania,,1790,1,0
Oceania,,1791,1,0
Oceania,,1792,1,0
Oceania,,1793,1,0
Oceania,,1794,1,0
Oceania,,1795,1,0
Oceania,,1796,1,0
Oceania,,1797,1,0
Oceania,,1798,1,0
Oceania,,1799,1,0
Oceania,,1800,1,0
Oceania,,1801,1,0
Oceania,,1802,1,0
Oceania,,1803,1,0
Oceania,,1804,1,0
Oceania,,1805,1,0
Oceania,,1806,1,0
Oceania,,1807,1,0
Oceania,,1808,1,0
Oceania,,1809,1,0
Oceania,,1810,1,0
Oceania,,1811,1,0
Oceania,,1812,1,0
Oceania,,1813,1,0
Oceania,,1814,1,0
Oceania,,1815,1,0
Oceania,,1816,1,0
Oceania,,1817,1,0
Oceania,,1818,1,0
Oceania,,1819,1,0
Oceania,,1820,1,0
Oceania,,1821,1,0
Oceania,,1822,1,0
Oceania,,1823,1,0
Oceania,,1824,1,0
Oceania,,1825,1,0
Oceania,,1826,1,0
Oceania,,1827,1,0
Oceania,,1828,1,0
Oceania,,1829,1,0
Oceania,,1830,1,0
Oceania,,1831,1,0
Oceania,,1832,1,0
Oceania,,1833,1,0
Oceania,,1834,1,0
Oceania,,1835,1,0
Oceania,,1836,1,0
Oceania,,1837,1,0
Oceania,,1838,1,0
Oceania,,1839,1,0
Oceania,,1840,1,0
Oceania,,1841,2,0
Oceania,,1842,2,0
Oceania,,1843,2,0
Oceania,,1844,2,0
Oceania,,1845,2,0
Oceania,,1846,2,0
Oceania,,1847,2,0
Oceania,,1848,2,0
Oceania,,1849,2,0
Oceania,,1850,2,0
Oceania,,1851,2,0
Oceania,,1852,2,0
Oceania,,1853,2,0
Oceania,,1854,2,0
Oceania,,1855,2,0
Oceania,,1856,2,0
Oceania,,1857,2,0
Oceania,,1858,2,0
Oceania,,1859,2,0
Oceania,,1860,2,0
Oceania,,1861,2,0
Oceania,,1862,2,0
Oceania,,1863,2,0
Oceania,,1864,2,0
Oceania,,1865,2,0
Oceania,,1866,2,0
Oceania,,1867,2,0
Oceania,,1868,2,0
Oceania,,1869,2,0
Oceania,,1870,2,0
Oceania,,1871,2,0
Oceania,,1872,2,0
Oceania,,1873,2,0
Oceania,,1874,2,0
Oceania,,1875,2,0
Oceania,,1876,2,0
Oceania,,1877,2,0
Oceania,,1878,2,0
Oceania,,1879,2,0
Oceania,,1880,2,0
Oceania,,1881,2,0
Oceania,,1882,2,0
Oceania,,1883,2,0
Oceania,,1884,2,0
Oceania,,1885,2,0
Oceania,,1886,2,0
Oceania,,1887,2,0
Oceania,,1888,2,0
Oceania,,1889,2,0
Oceania,,1890,2,0
Oceania,,1891,2,0
Oceania,,1892,2,0
Oceania,,1893,2,0
Oceania,,1894,2,0
Oceania,,1895,2,0
Oceania,,1896,2,0
Oceania,,1897,2,0
Oceania,,1898,2,0
Oceania,,1899,2,0
Oceania,,1900,6,0
Oceania,,1901,6,0
Oceania,,1902,6,0
Oceania,,1903,6,0
Oceania,,1904,6,0
Oceania,,1905,6,0
Oceania,,1906,6,0
Oceania,,1907,6,0
Oceania,,1908,6,0
Oceania,,1909,6,0
Oceania,,1910,6,0
Oceania,,1911,6,0
Oceania,,1912,6,0
Oceania,,1913,6,0
Oceania,,1914,6,0
Oceania,,1915,6,0
Oceania,,1916,6,0
Oceania,,1917,6,0
Oceania,,1918,6,0
Oceania,,1919,6,0
Oceania,,1920,6,0
Oceania,,1921,6,0
Oceania,,1922,6,0
Oceania,,1923,6,0
Oceania,,1924,6,0
Oceania,,1925,6,0
Oceania,,1926,6,0
Oceania,,1927,6,0
Oceania,,1928,6,0
Oceania,,1929,6,0
Oceania,,1930,6,0
Oceania,,1931,6,0
Oceania,,1932,6,0
Oceania,,1933,6,0
Oceania,,1934,6,0
Oceania,,1935,6,0
Oceania,,1936,6,0
Oceania,,1937,6,0
Oceania,,1938,6,0
Oceania,,1939,6,0
Oceania,,1940,6,0
Oceania,,1941,6,0
Oceania,,1942,6,0
Oceania,,1943,6,0
Oceania,,1944,6,0
Oceania,,1945,6,0
Oceania,,1946,6,0
Oceania,,1947,6,0
Oceania,,1948,6,0
Oceania,,1949,6,0
Oceania,,1950,6,0
Oceania,,1951,6,0
Oceania,,1952,6,0
Oceania,,1953,6,0
Oceania,,1954,6,0
Oceania,,1955,6,0
Oceania,,1956,6,0
Oceania,,1957,6,0
Oceania,,1958,6,0
Oceania,,1959,6,0
Oceania,,1960,6,0
Oceania,,1961,6,0
Oceania,,1962,6,0
Oceania,,1963,6,0
Oceania,,1964,6,0
Oceania,,1965,6,0
Oceania,,1966,6,0
Oceania,,1967,6,0
Oceania,,1968,6,0
Oceania,,1969,6,0
Oceania,,1970,6,0
Oceania,,1971,6,0
Oceania,,1972,6,0
Oceania,,1973,6,0
Oceania,,1974,6,0
Oceania,,1975,6,0
Oceania,,1976,6,0
Oceania,,1977,6,0
Oceania,,1978,6,0
Oceania,,1979,6,0
Oceania,,1980,6,0
Oceania,,1981,6,0
Oceania,,1982,6,0
Oceania,,1983,6,0
Oceania,,1984,6,0
Oceania,,1985,6,0
Oceania,,1986,6,0
Oceania,,1987,6,0
Oceania,,1988,6,0
Oceania,,1989,6,0
Oceania,,1990,5,1
Oceania,,1991,5,1
Oceania,,1992,5,1
Oceania,,1993,5,1
Oceania,,1994,5,1
Oceania,,1995,5,1
Oceania,,1996,6,0
Oceania,,1997,6,0
Oceania,,1998,6,0
Oceania,,1999,6,0
Oceania,,2000,6,0
Oceania,,2001,5,1
Oceania,,2002,5,1
Oceania,,2003,5,1
Oceania,,2004,5,1
Oceania,,2005,5,1
Oceania,,2006,6,0
Oceania,,2007,6,0
Oceania,,2008,5,1
Oceania,,2009,5,1
Oceania,,2010,5,1
Oceania,,2011,5,1
Oceania,,2012,5,1
Oceania,,2013,5,1
Oceania,,2014,6,0
Oceania,,2015,6,0
Oceania,,2016,5,1
Oceania,,2017,5,1
Oceania,,2018,5,1
Oceania,,2019,5,1
Oceania,,2020,5,1
Oceania,,2021,5,1
Oceania,,2022,5,1
South America,,1789,6,0
South America,,1790,6,0
South America,,1791,6,0
South America,,1792,6,0
South America,,1793,6,0
South America,,1794,6,0
South America,,1795,6,0
South America,,1796,6,0
South America,,1797,6,0
South America,,1798,6,0
South America,,1799,6,0
South America,,1800,6,0
South America,,1801,6,0
South America,,1802,6,0
South America,,1803,6,0
South America,,1804,6,0
South America,,1805,6,0
South America,,1806,6,0
South America,,1807,6,0
South America,,1808,6,0
South America,,1809,6,0
South America,,1810,5,0
South America,,1811,5,0
South America,,1812,6,0
South America,,1813,6,0
South America,,1814,7,0
South America,,1815,7,0
South America,,1816,7,0
South America,,1817,7,0
South America,,1818,7,0
South America,,1819,7,0
South America,,1820,6,0
South America,,1821,6,0
South America,,1822,6,0
South America,,1823,6,0
South America,,1824,6,0
South America,,1825,8,0
South America,,1826,8,0
South America,,1827,8,0
South America,,1828,8,0
South America,,1829,8,0
South America,,1830,10,0
South America,,1831,10,0
South America,,1832,10,0
South America,,1833,10,0
South America,,1834,10,0
South America,,1835,10,0
South America,,1836,10,0
South America,,1837,10,0
South America,,1838,10,0
South America,,1839,10,0
South America,,1840,10,0
South America,,1841,9,0
South America,,1842,9,0
South America,,1843,9,0
South America,,1844,10,0
South America,,1845,10,0
South America,,1846,10,0
South America,,1847,10,0
South America,,1848,10,0
South America,,1849,10,0
South America,,1850,10,0
South America,,1851,10,0
South America,,1852,10,0
South America,,1853,9,0
South America,,1854,10,0
South America,,1855,10,0
South America,,1856,10,0
South America,,1857,10,0
South America,,1858,10,0
South America,,1859,10,0
South America,,1860,10,0
South America,,1861,10,0
South America,,1862,10,0
South America,,1863,10,0
South America,,1864,10,0
South America,,1865,10,0
South America,,1866,10,0
South America,,1867,10,0
South America,,1868,10,0
South America,,1869,10,0
South America,,1870,10,0
South America,,1871,9,1
South America,,1872,10,0
South America,,1873,10,0
South America,,1874,10,0
South America,,1875,10,0
South America,,1876,9,1
South America,,1877,10,0
South America,,1878,10,0
South America,,1879,10,0
South America,,1880,10,0
South America,,1881,10,0
South America,,1882,10,0
South America,,1883,10,0
South America,,1884,10,0
South America,,1885,10,0
South America,,1886,10,0
South America,,1887,9,1
South America,,1888,10,0
South America,,1889,10,0
South America,,1890,10,0
South America,,1891,10,0
South America,,1892,10,0
South America,,1893,10,0
South America,,1894,10,0
South America,,1895,10,0
South America,,1896,10,0
South America,,1897,10,0
South America,,1898,9,0
South America,,1899,9,0
South America,,1900,12,0
South America,,1901,12,0
South America,,1902,12,0
South America,,1903,12,0
South America,,1904,12,0
South America,,1905,12,0
South America,,1906,12,0
South America,,1907,12,0
South America,,1908,12,0
South America,,1909,12,0
South America,,1910,12,0
South America,,1911,12,0
South America,,1912,12,0
South America,,1913,12,0
South America,,1914,12,0
South America,,1915,12,0
South America,,1916,12,0
South America,,1917,12,0
South America,,1918,12,0
South America,,1919,12,0
South America,,1920,12,0
South America,,1921,12,0
South America,,1922,12,0
South America,,1923,12,0
South America,,1924,12,0
South America,,1925,12,0
South America,,1926,12,0
South America,,1927,12,0
South America,,1928,12,0
South America,,1929,12,0
South America,,1930,12,0
South America,,1931,12,0
South America,,1932,12,0
South America,,1933,12,0
South America,,1934,12,0
South America,,1935,12,0
South America,,1936,12,0
South America,,1937,12,0
South America,,1938,12,0
South America,,1939,12,0
South America,,1940,12,0
South America,,1941,12,0
South America,,1942,12,0
South America,,1943,12,0
South America,,1944,12,0
South America,,1945,12,0
South America,,1946,12,0
South America,,1947,12,0
South America,,1948,12,0
South America,,1949,12,0
South America,,1950,12,0
South America,,1951,12,0
South America,,1952,11,0
South America,,1953,11,0
South America,,1954,11,0
South America,,1955,11,0
South America,,1956,11,0
South America,,1957,11,0
South America,,1958,11,0
South America,,1959,11,0
South America,,1960,11,0
South America,,1961,11,0
South America,,1962,11,0
South America,,1963,11,0
South America,,1964,11,0
South America,,1965,11,0
South America,,1966,11,0
South America,,1967,12,0
South America,,1968,12,0
South America,,1969,12,0
South America,,1970,12,0
South America,,1971,12,0
South America,,1972,12,0
South America,,1973,12,0
South America,,1974,11,1
South America,,1975,11,1
South America,,1976,12,0
South America,,1977,12,0
South America,,1978,12,0
South America,,1979,11,1
South America,,1980,12,0
South America,,1981,12,0
South America,,1982,12,0
South America,,1983,12,0
South America,,1984,12,0
South America,,1985,12,0
South America,,1986,12,0
South America,,1987,12,0
South America,,1988,12,0
South America,,1989,12,0
South America,,1990,12,0
South America,,1991,12,0
South America,,1992,12,0
South America,,1993,12,0
South America,,1994,12,0
South America,,1995,12,0
South America,,1996,12,0
South America,,1997,11,1
South America,,1998,11,1
South America,,1999,12,0
South America,,2000,12,0
South America,,2001,12,0
South America,,2002,12,0
South America,,2003,12,0
South America,,2004,12,0
South America,,2005,12,0
South America,,2006,11,1
South America,,2007,10,2
South America,,2008,10,2
South America,,2009,10,2
South America,,2010,11,1
South America,,2011,10,2
South America,,2012,10,2
South America,,2013,10,2
South America,,2014,9,3
South America,,2015,10,2
South America,,2016,11,1
South America,,2017,11,1
South America,,2018,12,0
South America,,2019,11,1
South America,,2020,12,0
South America,,2021,12,0
South America,,2022,11,1
World,OWID_WRL,1789,56,2
World,OWID_WRL,1790,58,2
World,OWID_WRL,1791,57,2
World,OWID_WRL,1792,57,2
World,OWID_WRL,1793,58,2
World,OWID_WRL,1794,57,2
World,OWID_WRL,1795,56,2
World,OWID_WRL,1796,56,1
World,OWID_WRL,1797,56,1
World,OWID_WRL,1798,55,1
World,OWID_WRL,1799,57,1
World,OWID_WRL,1800,55,2
World,OWID_WRL,1801,57,2
World,OWID_WRL,1802,58,2
World,OWID_WRL,1803,57,3
World,OWID_WRL,1804,60,1
World,OWID_WRL,1805,61,1
World,OWID_WRL,1806,60,2
World,OWID_WRL,1807,61,2
World,OWID_WRL,1808,61,1
World,OWID_WRL,1809,61,1
World,OWID_WRL,1810,60,1
World,OWID_WRL,1811,57,1
World,OWID_WRL,1812,58,1
World,OWID_WRL,1813,62,1
World,OWID_WRL,1814,65,1
World,OWID_WRL,1815,67,1
World,OWID_WRL,1816,68,1
World,OWID_WRL,1817,69,1
World,OWID_WRL,1818,69,1
World,OWID_WRL,1819,68,1
World,OWID_WRL,1820,67,1
World,OWID_WRL,1821,68,1
World,OWID_WRL,1822,70,1
World,OWID_WRL,1823,68,1
World,OWID_WRL,1824,68,1
World,OWID_WRL,1825,71,1
World,OWID_WRL,1826,70,2
World,OWID_WRL,1827,69,2
World,OWID_WRL,1828,70,2
World,OWID_WRL,1829,70,2
World,OWID_WRL,1830,72,2
World,OWID_WRL,1831,73,2
World,OWID_WRL,1832,73,1
World,OWID_WRL,1833,73,2
World,OWID_WRL,1834,72,3
World,OWID_WRL,1835,71,3
World,OWID_WRL,1836,71,3
World,OWID_WRL,1837,70,4
World,OWID_WRL,1838,74,4
World,OWID_WRL,1839,73,4
World,OWID_WRL,1840,75,3
World,OWID_WRL,1841,76,3
World,OWID_WRL,1842,76,3
World,OWID_WRL,1843,74,5
World,OWID_WRL,1844,76,5
World,OWID_WRL,1845,76,5
World,OWID_WRL,1846,77,4
World,OWID_WRL,1847,76,4
World,OWID_WRL,1848,77,4
World,OWID_WRL,1849,75,5
World,OWID_WRL,1850,76,5
World,OWID_WRL,1851,75,5
World,OWID_WRL,1852,76,4
World,OWID_WRL,1853,76,3
World,OWID_WRL,1854,77,3
World,OWID_WRL,1855,77,3
World,OWID_WRL,1856,76,3
World,OWID_WRL,1857,77,3
World,OWID_WRL,1858,77,3
World,OWID_WRL,1859,77,3
World,OWID_WRL,1860,76,3
World,OWID_WRL,1861,74,2
World,OWID_WRL,1862,74,2
World,OWID_WRL,1863,72,3
World,OWID_WRL,1864,73,3
World,OWID_WRL,1865,73,3
World,OWID_WRL,1866,72,3
World,OWID_WRL,1867,70,3
World,OWID_WRL,1868,63,2
World,OWID_WRL,1869,63,2
World,OWID_WRL,1870,63,2
World,OWID_WRL,1871,62,3
World,OWID_WRL,1872,60,2
World,OWID_WRL,1873,60,2
World,OWID_WRL,1874,60,2
World,OWID_WRL,1875,60,3
World,OWID_WRL,1876,59,4
World,OWID_WRL,1877,60,3
World,OWID_WRL,1878,61,3
World,OWID_WRL,1879,61,3
World,OWID_WRL,1880,61,3
World,OWID_WRL,1881,60,4
World,OWID_WRL,1882,60,4
World,OWID_WRL,1883,60,4
World,OWID_WRL,1884,59,4
World,OWID_WRL,1885,59,5
World,OWID_WRL,1886,58,5
World,OWID_WRL,1887,57,6
World,OWID_WRL,1888,58,5
World,OWID_WRL,1889,58,4
World,OWID_WRL,1890,57,5
World,OWID_WRL,1891,57,5
World,OWID_WRL,1892,57,5
World,OWID_WRL,1893,59,4
World,OWID_WRL,1894,58,4
World,OWID_WRL,1895,58,4
World,OWID_WRL,1896,58,4
World,OWID_WRL,1897,60,3
World,OWID_WRL,1898,58,4
World,OWID_WRL,1899,57,4
World,OWID_WRL,1900,118,5
World,OWID_WRL,1901,119,4
World,OWID_WRL,1902,121,3
World,OWID_WRL,1903,124,3
World,OWID_WRL,1904,126,3
World,OWID_WRL,1905,126,3
World,OWID_WRL,1906,126,3
World,OWID_WRL,1907,126,3
World,OWID_WRL,1908,127,2
World,OWID_WRL,1909,127,2
World,OWID_WRL,1910,128,2
World,OWID_WRL,1911,130,3
World,OWID_WRL,1912,130,4
World,OWID_WRL,1913,130,4
World,OWID_WRL,1914,132,3
World,OWID_WRL,1915,132,3
World,OWID_WRL,1916,134,4
World,OWID_WRL,1917,134,4
World,OWID_WRL,1918,140,4
World,OWID_WRL,1919,143,4
World,OWID_WRL,1920,146,4
World,OWID_WRL,1921,146,3
World,OWID_WRL,1922,149,3
World,OWID_WRL,1923,149,3
World,OWID_WRL,1924,149,3
World,OWID_WRL,1925,149,3
World,OWID_WRL,1926,149,3
World,OWID_WRL,1927,148,3
World,OWID_WRL,1928,148,3
World,OWID_WRL,1929,148,3
World,OWID_WRL,1930,150,2
World,OWID_WRL,1931,150,2
World,OWID_WRL,1932,149,2
World,OWID_WRL,1933,149,2
World,OWID_WRL,1934,149,2
World,OWID_WRL,1935,149,2
World,OWID_WRL,1936,149,2
World,OWID_WRL,1937,148,2
World,OWID_WRL,1938,148,2
World,OWID_WRL,1939,148,2
World,OWID_WRL,1940,147,0
World,OWID_WRL,1941,147,1
World,OWID_WRL,1942,146,1
World,OWID_WRL,1943,146,1
World,OWID_WRL,1944,146,2
World,OWID_WRL,1945,145,3
World,OWID_WRL,1946,146,3
World,OWID_WRL,1947,148,3
World,OWID_WRL,1948,151,3
World,OWID_WRL,1949,152,3
World,OWID_WRL,1950,151,3
World,OWID_WRL,1951,152,3
World,OWID_WRL,1952,150,4
World,OWID_WRL,1953,150,4
World,OWID_WRL,1954,150,4
World,OWID_WRL,1955,150,4
World,OWID_WRL,1956,149,4
World,OWID_WRL,1957,149,4
World,OWID_WRL,1958,150,4
World,OWID_WRL,1959,150,4
World,OWID_WRL,1960,150,3
World,OWID_WRL,1961,151,3
World,OWID_WRL,1962,151,3
World,OWID_WRL,1963,151,3
World,OWID_WRL,1964,151,2
World,OWID_WRL,1965,152,2
World,OWID_WRL,1966,152,2
World,OWID_WRL,1967,153,2
World,OWID_WRL,1968,153,2
World,OWID_WRL,1969,153,2
World,OWID_WRL,1970,152,3
World,OWID_WRL,1971,155,2
World,OWID_WRL,1972,154,3
World,OWID_WRL,1973,154,3
World,OWID_WRL,1974,153,4
World,OWID_WRL,1975,153,4
World,OWID_WRL,1976,153,3
World,OWID_WRL,1977,153,3
World,OWID_WRL,1978,153,3
World,OWID_WRL,1979,152,4
World,OWID_WRL,1980,152,4
World,OWID_WRL,1981,152,4
World,OWID_WRL,1982,150,6
World,OWID_WRL,1983,150,6
World,OWID_WRL,1984,149,7
World,OWID_WRL,1985,149,7
World,OWID_WRL,1986,149,7
World,OWID_WRL,1987,150,6
World,OWID_WRL,1988,150,6
World,OWID_WRL,1989,152,6
World,OWID_WRL,1990,161,11
World,OWID_WRL,1991,164,9
World,OWID_WRL,1992,166,8
World,OWID_WRL,1993,166,9
World,OWID_WRL,1994,166,9
World,OWID_WRL,1995,167,8
World,OWID_WRL,1996,168,7
World,OWID_WRL,1997,169,6
World,OWID_WRL,1998,170,6
World,OWID_WRL,1999,168,9
World,OWID_WRL,2000,168,9
World,OWID_WRL,2001,165,12
World,OWID_WRL,2002,165,12
World,OWID_WRL,2003,164,13
World,OWID_WRL,2004,167,10
World,OWID_WRL,2005,168,9
World,OWID_WRL,2006,167,10
World,OWID_WRL,2007,165,13
World,OWID_WRL,2008,166,12
World,OWID_WRL,2009,165,13
World,OWID_WRL,2010,165,13
World,OWID_WRL,2011,166,13
World,OWID_WRL,2012,166,13
World,OWID_WRL,2013,168,11
World,OWID_WRL,2014,168,11
World,OWID_WRL,2015,165,14
World,OWID_WRL,2016,166,13
World,OWID_WRL,2017,163,16
World,OWID_WRL,2018,163,16
World,OWID_WRL,2019,163,16
World,OWID_WRL,2020,162,17
World,OWID_WRL,2021,162,17
World,OWID_WRL,2022,161,18